Index,URL,HTML Folder
8,at-t-yahoo-6f3cc4.webflow.io/,legitimate_resources/fully_downloaded_web_pages/8_webflow/at-t-yahoo-6f3cc4.webflow.io/index.html
19,unknonk-location-2kcnhj2zg-famicsortingout-gmailcom.vercel.app/,legitimate_resources/fully_downloaded_web_pages/19_vercel/unknonk-location-2kcnhj2zg-famicsortingout-gmailcom.vercel.app/index.html
23,hnosratti2024.mh84-alaei.workers.dev/,legitimate_resources/fully_downloaded_web_pages/23_workers/hnosratti2024.mh84-alaei.workers.dev/index.html
30,getmaxicabs.com.au/BDO/sso/login.php/,legitimate_resources/fully_downloaded_web_pages/30_getmaxicabs/getmaxicabs.com.au/BDO/sso/login.php/index.html
33,solve-case-community.vercel.app/next.html/,legitimate_resources/fully_downloaded_web_pages/33_vercel/solve-case-community.vercel.app/next.html/index.html
44,tokenpacknt.com/,legitimate_resources/fully_downloaded_web_pages/44_tokenpacknt/tokenpacknt.com/index.html
45,athome-100871.weeblysite.com/,legitimate_resources/fully_downloaded_web_pages/45_weeblysite/athome-100871.weeblysite.com/index.html
46,att-inc-104072.weeblysite.com/,legitimate_resources/fully_downloaded_web_pages/46_weeblysite/att-inc-104072.weeblysite.com/index.html
48,spotifypremium.net/vn/,legitimate_resources/fully_downloaded_web_pages/48_spotifypremium/spotifypremium.net/vn/index.html
49,spotifypremium.net/de/,legitimate_resources/fully_downloaded_web_pages/49_spotifypremium/spotifypremium.net/de/index.html
50,spotifypremium.net/br/,legitimate_resources/fully_downloaded_web_pages/50_spotifypremium/spotifypremium.net/br/index.html
51,spotifypremium.net/an/,legitimate_resources/fully_downloaded_web_pages/51_spotifypremium/spotifypremium.net/an/index.html
52,spotifypremium.net/id/,legitimate_resources/fully_downloaded_web_pages/52_spotifypremium/spotifypremium.net/id/index.html
53,spotifypremium.net/blog/spotify-free-vs-spotify-premium/,legitimate_resources/fully_downloaded_web_pages/53_spotifypremium/spotifypremium.net/blog/spotify-free-vs-spotify-premium/index.html
54,spotifypremium.net/fr/,legitimate_resources/fully_downloaded_web_pages/54_spotifypremium/spotifypremium.net/fr/index.html
55,spotifypremium.net/ph/,legitimate_resources/fully_downloaded_web_pages/55_spotifypremium/spotifypremium.net/ph/index.html
56,spotifypremium.net/tr/,legitimate_resources/fully_downloaded_web_pages/56_spotifypremium/spotifypremium.net/tr/index.html
57,spotifypremium.net/my/,legitimate_resources/fully_downloaded_web_pages/57_spotifypremium/spotifypremium.net/my/index.html
58,spotifypremium.net/in/,legitimate_resources/fully_downloaded_web_pages/58_spotifypremium/spotifypremium.net/in/index.html
